name,cleaned
ferdinan,ferdinand
ferdinant,ferdinand
fernand,ferdinand
fill,philip
finus,phineas
flecher,fletcher
floid,floyd
fracis,francis
frak,frank
fraklin,franklin
frances,francis
francies,francis
franck,frank
frankey,frank
frankin,franklin
franklen,franklin
frankline,franklin
frankling,franklin
franky,frank
franlin,franklin
frd,frederick
fread,frederick
fred,frederick
fredc,frederick
fredd,frederick
freddie,frederick
freddy,frederick
frede,frederick
frederck,frederick
frederic,frederick
frederich,frederick
fredick,frederick
fredie,frederick
fredinand,ferdinand
fredk,frederick
fredr,frederick
fredreck,frederick
fredric,frederick
fredrich,frederick
fredrik,frederick
fredy,frederick
freman,freeman
frid,frederick
friderick,frederick
fridrich,friedrich
fridrick,frederick
fried,friederick
friederich,friedrich
friedr,frederick
friedrich,frederick
gabe,gabriel
gabrel,gabriel
gabril,gabriel
garet,garrett
garret,garrett
garrit,garrett
gelbert,gilbert
gene,eugene
genie,eugene
geo,george
geoge,george
geor,george
geore,george
georg,george
georga,george
georges,george
georgie,george
gerge,george
geroge,george
gerrit,garrett
gerry,gerald
gid,gideon
gil,gilbert
gim,james
godfred,godfreid
godlieb,gottlieb
goerge,george
gorge,george
gotleib,gottlieb
gotlib,gottlieb
gotlieb,gottlieb
gottlob,gottlieb
gran,granville
granvil,granville
granvill,granville
greg,gregory
gregg,gregory
grey,grayson
griff,griffin
gus,augustus
guss,augustus
gusta,augusta
hamp,hampton
hamton,hampton
hank,henry
hanry,henry
harace,horace
harbert,herbert
hardin,harden
harey,harry
harison,harrison
harrey,harry
harrie,harry
harva,harvey
harve,harvey
harvy,harvey
hary,harry
haver,harvey
hebert,herbert
hen,henry
henery,henry
henrey,henry
henrie,henry
heny,henry
herbie,herbert
herburt,herbert
herm,herman
hermann,herman
hermon,herman
herny,henry
herrman,herman
herrmann,herman
herry,harry
herschel,hershel
hesekiah,hezekiah
hew,hugh
hez,hezekiah
hi,hiram
hilery,hillary
hilry,hillary
hiriam,hiram
hirom,hiram
hirum,hiram
hollie,hall
horas,horace
horatia,horatio
horis,horace
horrace,horace
horrice,horace
horris,horace
hough,hugh
how,howard
howe,howard
hue,hugh
hughey,hugh
hughy,hugh
hurbert,herbert
hurburt,herbert
hurman,herman
huston,houston
hutson,hudson
hy,hyrum
hyram,hiram
hyrum,hiram
iaac,isaac
ignace,ignatius
ike,isaac
immanuel,emanuel
irah,irving
irvan,irving
isaah,isaiah
isac,isaac
isacc,isaac
isach,isaac
isack,isaac
isaic,isaac
isaih,isaiah
isak,isaac
isarel,israel
iseral,israel
isiah,isaiah
isic,isaac
isick,isaac
isreal,israel
isrel,israel
isrial,israel
isriel,israel
issaac,isaac
issac,isaac
iver,ivor
ivin,ivan
ja,james
jac,jack
jacb,jacob
jacobo,jacob
jacop,jacob
jacub,jacob
jahn,john
jam,james
jame,james
jamie,james
jamis,james
jams,james
jamy,james
janes,james
jarome,jerome
jary,gerald
jas,james
jasen,jason
jaseph,joseph
jashua,joshua
jeames,james
jeams,james
jed,jedediah
jef,jeffrey
jeferson,jefferson
jeff,jeffrey
jeffery,jeffrey
jeffie,jeffrey
jeffry,jeffrey
jehn,john
jemes,james
jemmie,james
jene,eugene
jeorge,george
jerald,gerald
jeramiah,jeremiah
jere,jeremiah
jerimiah,jeremiah
jerom,jerome
jerrie,gerald
jerrymiah,jeremiah
jery,gerald
jes,jesse
jese,jesse
jesee,jesse
jesey,jesse
jess,jesse
jessa,jesse
jessey,jesse
jessi,jesse
jessy,jesse
jhon,john
jim,james
jimey,james
jimie,james
jimmey,james
jimmie,james
jimmy,james
jimy,james
jm,james
jn,john
jno,john
jo,joseph
joachim,joaquin
joal,joel
jobe,job
jocob,jacob
joe,joseph
joeph,joseph
joeseph,joseph
joesph,joseph
joh,john
johathan,jonathan
johm,john
johnathan,jonathan
johnathon,jonathan
johne,john
johney,john
johnie,john
johnithan,jonathan
johnney,john
johnnie,john
johnny,john
johnothan,jonathan
johny,john
jon,john
jona,jonah
jonathon,jonathan
jonethan,jonathan
jonithan,jonathan
jonn,john
jonnie,john
jonny,john
jonothan,jonathan
jos,joseph
josep,joseph
josepf,joseph
josephe,joseph
josey,joseph
josh,joshua
josheph,joseph
josie,joseph
josiph,joseph
josph,joseph
jourdan,jordan
jourden,jordan
jul,julius
jule,julius
jules,julian
juleus,julius
julia,julian
julias,julius
julious,julius
juluis,julius
julus,julius
jus,justin
karl,carl
kenny,kenneth
kerby,kirby
kit,catherine
kitt,catherine
konrad,conrad
lafaett,lafayette
lafaette,lafayette
lafayet,lafayette
lafayett,lafayette
lafyett,lafayette
lafyette,lafayette
lan,lancaster
lang,langford
larance,lawrence
larence,lawrence
larry,lawrence
lary,lawrence
laton,layton
laurance,lawrence
laurence,lawrence
laurens,lawrence
law,lawrence
lawerence,lawrence
layfaett,lafayette
leanard,leonard
leanord,leonard
leapold,leopold
lem,lemuel
len,leonard
lenard,leonard
lenn,leonard
lennard,leonard
lennie,leonard
lenny,leonard
lenoard,leonard
lenord,leonard
leny,leonard
leo,leonard
lepold,leopold
lesly,leslie
leuis,louis
levy,levi
lew,louis
lewes,louis
lewey,louis
lewie,louis
lewy,louis
lincon,lincoln
lindsay,lindsey
lindsy,lindsey
linsy,lindsey
linzy,lindsey
loid,lloyd
lois,louis
lon,alonso
loni,alonso
lonnie,alonso
lorance,lawrence
lorence,lawrence
lorin,loren
lou,louis
loue,louis
louey,louis
loui,louis
louie,louis
loyd,lloyd
loyed,lloyd
lucy,lucius
lud,ludwig
lue,louis
luellen,llewelyln
luey,louis
luie,louis
luis,louis
luthur,luther
mac,mack
machael,michael
mak,mack
mal,malcolm
malcom,malcolm
malcomb,malcolm
malcum,malcolm
malvin,melvin
manly,manley
manoel,manuel
marc,marcus
marke,marcus
marshal,marshall
marshel,marshall
mart,martin
martain,martin
marten,martin
marthin,martin
martie,martin
marton,martin
marty,martin
marven,marvin
mases,moses
mat,matthew
math,matthew
mathew,matthew
mathiew,matthew
matt,matthew
matthews,matthew
mattie,matthew
maxie,maximilian
mayhew,matthew
mc,michael
mel,melvin
melton,milton
melven,melvin
melvil,melville
merideth,meredith
merrit,merritt
mic,michael
micael,michael
micajah,micaiah
mich,michael
micha,michael
michal,michael
michale,michael
michall,michael
michel,michael
michl,michael
michle,michael
michul,michael
mick,michael
mickael,michael
mickel,michael
micle,michael
mik,michael
mikael,michael
mike,michael
mikle,michael
milt,milton
miron,myron
mit,mitchell
mitch,mitchell
mitchel,mitchell
monrow,monroe
mont,montgomery
moris,morris
morrice,maurice
mort,mortimer
mortimore,mortimer
mosses,moses
munro,monroe
munroe,monroe
munrow,monroe
murry,murray
napolean,napoleon
napolian,napoleon
nat,nathaniel
nate,nathaniel
nath,nathaniel
nathanal,nathaniel
nathanel,nathaniel
nathanil,nathaniel
nathanl,nathaniel
nathanuel,nathaniel
nathen,nathaniel
nathl,nathaniel
nathon,nathan
natt,nathaniel
nattie,nathaniel
neel,neil
neil,neal
neill,neil
neils,niels
nemiah,nehemiah
nepoleon,napolean
nepolian,napoleon
nic,nicolaus
nich,nicholas
nichlas,nicholas
nichlos,nicholas
nichol,nicholaus
nicholaus,nicholas
nicholes,nicholas
nicholos,nicholas
nichols,nicolaus
nicholus,nicholas
nick,nicolaus
nicklas,nicholas
nicklaus,nicholas
nicklos,nicholas
nickolas,nicholas
niclaus,nicholas
nicolas,nicholas
nicolaus,nicholas
nicolus,nicholas
noa,noah
noe,noah
noland,nolan
nute,knut
nuton,newton
obe,obadiah
obed,obadiah
obie,obadiah
ocar,oscar
octavus,octavius
olaver,oliver
olever,oliver
olie,oliver
olif,olaf
olive,oliver
olley,oliver
ollie,oliver
olliver,oliver
olly,oliver
olof,olaf
oloff,olaf
olonzo,alonzo
olover,oliver
oluf,olaf
oly,oliver
orval,orville
orvel,orville
orvil,orville
orvill,orville
osca,oscar
oscer,oscar
oscor,oscar
oskar,oscar
osker,oscar
otey,otto
otie,otto
ott,otto
owin,owen
park,parker
parris,paris
parry,perry
pasqual,pascal
pat,patrick
pater,peter
paterick,patrick
patk,patrick
patr,patrick
patric,patrick
patrich,patrick
patrik,patrick
patrk,patrick
patt,patrick
pattrick,patrick
peater,peter
peeter,peter
percie,percival
perl,pearl
perley,pearl
perrie,perry
persey,percival
persy,percival
pery,perry
pete,peter
petter,peter
phelix,felix
phil,philip
philiph,philip
philipp,philip
phill,philip
phillipp,philip
phillop,philip
philup,philip
phineus,phineas
pier,pierre
plesant,pleasant
port,porter
prentiss,prentice
purley,pearl
quin,quincy
quince,quincy
rafael,raphael
rafel,raphael
ralf,ralph
randal,randall
randle,randall
randol,randall
randolf,randolph
raphael,rafael
raphel,raphael
rasmus,erasmus
ray,raymond
rbt,robert
rees,reece
reubin,reuben
rex,rexford
rheuben,reuben
rheubin,reuben
rhuben,reuben
ricd,richard
rich,richard
richart,richard
richd,richard
richerd,richard
richie,richard
rick,richard
rily,riley
ritchard,richard
rob,robert
robart,robert
robb,robert
robbert,robert
robbie,robert
robbin,robin
rober,robert
roberts,robert
robet,robert
robie,robert
robrt,robert
robt,robert
roby,robert
rodger,roger
rodolph,rudolph
rolen,roland
rolland,roland
rollen,roland
rolley,roland
rollie,roland
rolly,roland
ron,ronald
rosco,roscoe
ruban,reuben
ruben,reuben
rubert,robert
rubin,reuben
rud,rudolph
rudolf,rudolph
rudy,rudolph
rueben,reuben
ruff,rufus
ruphus,rufus
rus,russell
rusel,russell
russ,russell
russel,russell
russle,russell
ryley,riley
salmon,solomon
salomon,solomon
sam,samuel
same,samuel
samel,samuel
sameul,samuel
samey,samuel
samie,samuel
samiel,samuel
saml,samuel
sammie,samuel
sammuel,samuel
sammy,samuel
samual,samuel
samuell,samuel
samuil,samuel
samul,samuel
samule,samuel
samy,samuel
sanuel,samuel
selden,sheldon
selvester,sylvester
semore,seymour
sephen,stephen
seymore,seymour
shade,shadrach
shadrack,shadrach
shadrick,shadrach
shedric,shadrach
shedrick,shadrach
sid,sidney
sidna,sydney
sidny,sidney
silus,silas
silvester,sylvester
sim,simeon
simson,simpson
siras,cyrus
sml,samuel
sol,solomon
solaman,solomon
solamon,solomon
soleman,solomon
solmon,solomon
solom,solomon
soloman,solomon
stan,stanley
stanly,stanley
steaphen,stephen
steaven,stephen
steph,stephen
stephan,stephen
stephin,stephen
stephn,stephen
stevan,stephen
steve,stephen
steward,stewart
stirling,sterling
sulivan,sullivan
swen,sven
sydna,sydney
sydny,sydney
sylus,silas
symon,simon
syrus,cyrus
tailor,taylor
ted,theodore
teddy,theodore
teodoro,theodoro
terance,terrence
terrance,terence
terry,terence
th,thomas
thad,thaddeus
thadeous,thaddeus
thadeus,thaddeus
thadius,thaddeus
thadus,thaddeus
thas,thomas
the,theodore
theador,theodore
theadore,theodore
thedore,theodore
theo,theodore
theod,theodore
theodor,theodore
theordore,theodore
thimothy,timothy
thimoty,timothy
tho,thomas
thodore,theodore
thom,thomas
thoma,thomas
thomes,thomas
thomis,thomas
thommas,thomas
thomos,thomas
thoms,thomas
thonas,thomas
thos,thomas
ths,thomas
tim,timothy
timathy,timothy
timithy,timothy
tobe,tobias
tobie,tobias
toby,tobias
tom,thomas
tomas,thomas
tomey,thomas
tomie,thomas
tommas,thomas
tommie,thomas
tommy,thomas
tompson,thompson
tomy,thomas
tone,anthony
toney,anthony
toni,anthony
tonie,anthony
tony,anthony
tracey,tracy
ugene,eugene
ulises,ulysses
ulisis,ulysses
ulisses,ulysses
ulissis,ulysses
ulissus,ulysses
ulisus,ulysses
ulyses,ulysses
ulysis,ulysses
ulyssus,ulysses
ulysus,ulysses
val,valentin
valantine,valentine
vern,vernon
vicente,vincent
vick,victor
victorin,victor
vince,vincent
vincen,vincent
virgal,virgil
virgie,virgil
volentine,valentine
waid,wade
walace,wallace
wallas,wallace
walles,wallace
walt,walter
walther,walter
waren,warren
warran,warren
warrin,warren
wash,washington
web,webster
webb,webster
wencil,wenzel
wes,wesley
weslie,wesley
wesly,wesley
wess,wesley
westly,wesley
wiatt,wyatt
wil,william
wilh,william
wilham,william
wiliam,william
wilie,william
wilkie,wilkins
will,william
willa,william
willaim,william
willam,william
wille,william
willem,william
willes,willis
willi,william
willia,william
willian,william
williard,willard
willice,willis
willie,william
willilam,william
willim,william
willium,william
willm,william
willmer,wilmer
willson,wilson
willy,william
wilm,william
wily,william
windfield,winfield
winfred,winifred
winnie,winifred
wisley,wesley
wlm,william
wm,william
woodie,woodrow
worren,warren
zac,zachariah
zach,zachariah
zack,zachariah
zeb,zebadiah
zed,zedekiah
zeke,ezekiel
